Loai,MaKH,TenKH,SDT,Email,SoLanMua,TongGiaTri
Casual,KH01,Khach Hang 1 Update,0900000001,update1@mail.com,0,0.0
Casual,KH02,Khach Hang 2 Update,0900000002,update2@mail.com,0,0.0
Casual,KH03,Customer 3,0900000003,customer3@mail.com,0,0.0
Casual,KH04,Customer 4,0900000004,customer4@mail.com,0,0.0
Casual,KH05,Customer 5,0900000005,customer5@mail.com,5,500000.0
Casual,KH07,Customer 7,0900000007,customer7@mail.com,0,0.0
Casual,KH08,Customer 8,0900000008,customer8@mail.com,0,0.0
Casual,KH09,Customer 9,0900000009,customer9@mail.com,0,0.0
Casual,KH10,Customer 10,0900000010,customer10@mail.com,0,0.0
Loyal,KH06,Customer 6,0900000006,customer6@mail.com,,
